criterion,weight,mean,median
c1_context_correct,1.0,0.7,0.7
c2_identify_source,2.0,0.6,0.6
c3_trace_source_to_sink,3.0,0.6,0.6
c4_vuln_hypothesis,3.0,0.6,0.6
c5_root_cause_explanation,2.0,0.6,0.6
c6_correct_location,2.0,0.6,0.6
c7_pattern_or_cve_reference,2.0,0.5,0.5
c8_trigger_and_poc_concept,2.0,0.5,0.5
c9_impact_classification,2.0,0.6,0.6
c10_low_false_positive,2.0,0.6,0.6
